Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
40594396,The Devil Aspect,Craig Russell,"Russell, Craig",,"=""0385544367""","=""9780385544368""",0,4.02,Doubleday Books,Hardcover,414,2019,2018,,2020/08/17,to-read,to-read (#714),to-read,,,,0,,,0,,,,,
29906980,Lincoln in the Bardo,George Saunders,"Saunders, George",,"=""0812995341""","=""9780812995343""",0,3.75,Random House,Hardcover,343,2017,2017,,2020/03/26,"on-kobo, currently-reading, 2020, listened-to","on-kobo (#118), currently-reading (#3), 2020 (#44), listened-to (#44)",currently-reading,,,,1,,,0,,,,,
26007349,Big Little Lies,Liane Moriarty,"Moriarty, Liane",Caroline  Lee,"=""""","=""9781490627298""",3,4.27,Recorded Books,Audiobook,16,2014,2014,2020/08/14,2020/08/09,"listened-to, 2020","listened-to (#43), 2020 (#43)",read,,,,1,,,0,,,,,
46041199,"Kim Jiyoung, Born 1982",Cho Nam-Joo,"Nam-Joo, Cho",Jamie Chang,"=""1631496700""","=""9781631496707""",0,4.15,Liveright,Hardcover,176,2020,2016,,2020/08/10,to-read,to-read (#713),to-read,,,,0,,,0,,,,,
5025780,Beloved,Toni Morrison,"Morrison, Toni",,"=""""","=""""",0,3.86,Vintage,Kindle Edition,291,2007,1987,,2013/09/25,to-read,to-read (#712),to-read,,,,0,,,0,,,,,
42527596,The Twisted Ones,T. Kingfisher,"Kingfisher, T.",,"=""1534429573""","=""9781534429574""",0,3.67,Gallery / Saga Press,Hardcover,381,2019,2019,,2020/08/07,to-read,to-read (#711),to-read,,,,0,,,0,,,,,
35606041,"A Little Hatred (The Age of Madness, #1)",Joe Abercrombie,"Abercrombie, Joe",,"=""031618716X""","=""9780316187169""",0,4.47,Orbit,Hardcover,480,2019,2019,,2020/08/07,to-read,to-read (#710),to-read,,,,0,,,0,,,,,
41941223,Recursion,Blake Crouch,"Crouch, Blake",,"=""""","=""""",0,4.16,Crown,Kindle Edition,324,2019,2019,,2019/06/27,"book-riot-pop, currently-reading, 2020","book-riot-pop (#14), currently-reading (#2), 2020 (#42)",currently-reading,,,,1,,,0,,,,,
30134866,"Waking Gods (Themis Files, #2)",Sylvain Neuvel,"Neuvel, Sylvain",,"=""""","=""""",3,4.03,Del Rey,Kindle Edition,336,2017,2017,2020/08/03,2020/07/20,2020,2020 (#40),read,,,,1,,,0,,,,,
41061940,"Stony the Road: Reconstruction, White Supremacy, and the Rise of Jim Crow",Henry Louis Gates Jr.,"Jr., Henry Louis Gates",,"=""""","=""""",0,4.15,Penguin Press,Kindle Edition,320,2019,2019,,2020/07/29,to-read,to-read (#709),to-read,,,,0,,,0,,,,,
